"well","plate","strain","plasmid","row","column","stress","temperature","doxycycline","well_id","v_max","auc","final_abs"
"B5",2,"Tet-O7-ERG6","pRS315-ScerERG6","B",5,"None",30,"10 µg/mL","B5_2",0.023,31.808214453125,1.062
"B6",2,"Tet-O7-ERG6","pRS315-ScerERG6","B",6,"None",30,"10 µg/mL","B6_2",0.026,36.1729525065104,1.185
"B7",2,"▲erg3","pRS315-ScerERG3","B",7,"None",30,"None","B7_2",0.026,36.0588572265625,1.2
"B8",2,"▲erg3","pRS315-ScerERG3","B",8,"None",30,"None","B8_2",0.029,37.8801328125,1.239
"B9",2,"▲erg3","pRS315-ScerERG3","B",9,"None",30,"None","B9_2",0.028,38.6033194335938,1.256
"B10",2,"▲erg6","pRS315-ScerERG6","B",10,"None",30,"None","B10_2",0.027,36.1110936197917,1.176
"B11",2,"▲erg6","pRS315-ScerERG6","B",11,"None",30,"None","B11_2",0.026,36.0027468424479,1.171
"B12",2,"▲erg6","pRS315-ScerERG6","B",12,"None",30,"None","B12_2",0.028,38.7566544921875,1.193
"C1",2,"Tet-O7-ERG3","pRS315-CalbERG3","C",1,"None",30,"10 µg/mL","C1_2",0.028,37.7471674479167,1.221
"C2",2,"Tet-O7-ERG3","pRS315-CalbERG3","C",2,"None",30,"10 µg/mL","C2_2",0.029,38.4418614908854,1.257
"C3",2,"Tet-O7-ERG3","pRS315-CalbERG3","C",3,"None",30,"10 µg/mL","C3_2",0.0279999999999999,37.6313226236979,1.222
"C4",2,"Tet-O7-ERG6","pRS315-CalbERG6","C",4,"None",30,"10 µg/mL","C4_2",0.027,37.8285212565104,1.256
"C5",2,"Tet-O7-ERG6","pRS315-CalbERG6","C",5,"None",30,"10 µg/mL","C5_2",0.025,34.1904689127604,1.16
"C6",2,"Tet-O7-ERG6","pRS315-CalbERG6","C",6,"None",30,"10 µg/mL","C6_2",0.026,37.2348009114583,1.215
"C7",2,"▲erg3","pRS315-CalbERG3","C",7,"None",30,"None","C7_2",0.028,38.0933272786458,1.217
"C8",2,"▲erg3","pRS315-CalbERG3","C",8,"None",30,"None","C8_2",0.031,38.4753527669271,1.274
"C9",2,"▲erg3","pRS315-CalbERG3","C",9,"None",30,"None","C9_2",0.0269999999999999,36.5252357421875,1.183
"C10",2,"▲erg6","pRS315-CalbERG6","C",10,"None",30,"None","C10_2",0.0279999999999999,38.8832465169271,1.24
"C11",2,"▲erg6","pRS315-CalbERG6","C",11,"None",30,"None","C11_2",0.0279999999999999,38.1940510416667,1.235
"C12",2,"▲erg6","pRS315-CalbERG6","C",12,"None",30,"None","C12_2",0.025,35.2117028971354,1.127
"D1",2,"Tet-O7-ERG3","pRS315-CaurERG3","D",1,"None",30,"10 µg/mL","D1_2",0.029,39.4534729817708,1.271
"D2",2,"Tet-O7-ERG3","pRS315-CaurERG3","D",2,"None",30,"10 µg/mL","D2_2",0.026,35.4225229817708,1.147
"D3",2,"Tet-O7-ERG3","pRS315-CaurERG3","D",3,"None",30,"10 µg/mL","D3_2",0.027,37.8300208658854,1.224
"D4",2,"Tet-O7-ERG6","pRS315-CaurERG6","D",4,"None",30,"10 µg/mL","D4_2",0.026,36.46150234375,1.218
